location,list_price,unit_price,number_bedroom,number_bathroom,area,type
"Johor Bahru, Johor","RM 1,680,000","(RM 5,234 / m2)",4,4,321 m2,House
"Johor Bahru, Johor","RM 1,750,000","(RM 5,385 / m2)",5,5,325 m2,House
"Johor Bahru, Johor","RM 772,000","(RM 3,462 / m2)",4,4,223 m2,Townhouse
"Johor Bahru, Johor","RM 768,000",(RM 310 / m2),4,5,"2,475 m2",Townhouse
"Johor Bahru, Johor","RM 1,188,000",(RM 419 / m2),4,5,"2,833 m2",Villa
"Johor Bahru, Johor","RM 450,000","(RM 4,436 / m2)",4,3,101.45 m2,Condo
"Johor Bahru, Johor","RM 2,600,000",(RM 566 / m2),5,5,"4,590 m2",Villa
"Johor Bahru, Johor","RM 3,500,000",(RM 850 / m2),6,6,"4,120 m2",Villa
"Kinta, Perak","RM 450,000",(RM 327 / m2),3,3,"1,377 m2",Condo
"Kuala Kangsar, Perak","RM 157,000",,3,2,"1,400 m2",House
Johor,"RM 620,000",,3,2,163.5 m2,House
"Johor Bahru, Johor","RM 771,000","(RM 3,352 / m2)",4,4,230 m2,Townhouse
"Kinta, Perak","RM 398,000",(RM 328 / m2),3,2,"1,213 m2",Condo
"Johor Bahru, Johor","RM 830,000","(RM 2,795 / m2)",5,5,297 m2,House
"Seberang Perai Utara, Pulau Pinang","RM 330,000","(RM 3,700 / m2)",3,2,89.18 m2,House
"Johor Bahru, Johor","RM 8,800,000","(RM 12,500 / m2)",5,5,704 m2,Villa
"Kinta, Perak","RM 235,000",(RM 352 / m2),2,2,667 m2,Condo
"Kinta, Perak","RM 800,000",(RM 250 / m2),4,4,"3,200 m2",House
"Kinta, Perak","RM 450,000",(RM 273 / m2),4,3,"1,650 m2",House
"Kinta, Perak","RM 338,000",(RM 282 / m2),4,3,"1,200 m2",House
"Johor Bahru, Johor","RM 2,600,000",(RM 426 / m2),38,38,"6,100 m2",Commercial
"Kinta, Perak","RM 580,000",(RM 330 / m2),5,4,"1,760 m2",House
"Kinta, Perak","RM 193,000",(RM 218 / m2),3,2,884 m2,Condo
"Kinta, Perak","RM 338,000",(RM 135 / m2),4,2,"2,508 m2",House
"Kinta, Perak","RM 378,000",(RM 298 / m2),4,3,"1,270 m2",House
"Kinta, Perak","RM 450,000",(RM 321 / m2),4,3,"1,400 m2",House
"Kinta, Perak","RM 368,000",(RM 341 / m2),4,2,"1,080 m2",House
"Kinta, Perak","RM 152,000",(RM 169 / m2),4,2,899 m2,Apartment
"Kinta, Perak","RM 389,000",(RM 259 / m2),4,4,"1,500 m2",House
"Kinta, Perak","RM 258,000",(RM 215 / m2),3,2,"1,200 m2",House
"Kinta, Perak","RM 498,000",(RM 162 / m2),4,4,"3,080 m2",House
"Kinta, Perak","RM 350,000",(RM 227 / m2),3,2,"1,540 m2",House
"Kinta, Perak","RM 268,000",(RM 173 / m2),3,2,"1,550 m2",House
"Kinta, Perak","RM 420,000",(RM 300 / m2),4,3,"1,400 m2",House
"Kinta, Perak","RM 278,000",(RM 206 / m2),3,2,"1,350 m2",House
"Kinta, Perak","RM 220,000",(RM 229 / m2),3,2,960 m2,House
"Kinta, Perak","RM 750,000",(RM 357 / m2),6,5,"2,100 m2",House
"Johor Bahru, Johor","RM 488,000","(RM 2,789 / m2)",4,,175 m2,House
"Kinta, Perak","RM 243,000",(RM 203 / m2),3,1,"1,200 m2",House
"Kinta, Perak","RM 280,000",(RM 259 / m2),3,2,"1,080 m2",House
"Kinta, Perak","RM 180,000",(RM 212 / m2),3,2,850 m2,Apartment
"Johor Bahru, Johor","RM 2,500,000",,5,5,,Villa
"Kinta, Perak","RM 420,000",(RM 382 / m2),4,3,"1,100 m2",House
"Kinta, Perak","RM 480,000",(RM 310 / m2),4,3,"1,550 m2",House
"Johor Bahru, Johor","RM 348,000","(RM 3,480 / m2)",3,,100 m2,Apartment
"Johor Bahru, Johor","RM 898,000",,4,4,,House
"Kinta, Perak","RM 380,000",(RM 297 / m2),4,3,"1,280 m2",House
"Kuala Lumpur, Kuala Lumpur","RM 478,000",,2,1,,Condo
"Johor Bahru, Johor","RM 580,000","(RM 3,766 / m2)",5,,154 m2,House
"Kinta, Perak","RM 600,000",(RM 286 / m2),6,4,"2,100 m2",House
"Johor Bahru, Johor","RM 580,000","(RM 3,222 / m2)",5,,180 m2,House
